date,line_id,product,shift,available_time_min,production_time_min,downtime_min,units_produced,defective_units,good_units,availability,performance,quality,oee,downtime_reasons
2025-12-12,LINHA_C,Leite Fermentado,2,480,469,11,27304,1085,26219,0.9771,0.998,0.9603,0.9364,"[{'reason': 'Falha Elétrica', 'duration': 11}]"
2025-12-12,LINHA_C,Leite Fermentado,3,480,480,0,23823,993,22830,1.0,0.8508,0.9583,0.8154,[]
2025-12-13,LINHA_A,Iogurte Natural,1,480,450,30,33891,346,33545,0.9375,0.9038,0.9898,0.7548,"[{'reason': 'Ajuste de Equipamento', 'duration': 30}]"
2025-12-13,LINHA_A,Iogurte Natural,2,480,415,65,29725,564,29161,0.8646,0.8595,0.981,0.6561,"[{'reason': 'Troca de Sabor', 'duration': 38}, {'reason': 'Controle de Qualidade', 'duration': 27}]"
2025-12-13,LINHA_A,Iogurte Natural,3,480,411,69,33670,883,32787,0.8562,0.9831,0.9738,0.7377,"[{'reason': 'Limpeza CIP', 'duration': 59}, {'reason': 'Falha Elétrica', 'duration': 10}]"
2025-12-13,LINHA_B,Iogurte Grego,1,480,480,0,30623,1201,29422,1.0,0.957,0.9608,0.8275,[]
2025-12-13,LINHA_B,Iogurte Grego,2,480,455,25,28161,682,27479,0.9479,0.9284,0.9758,0.7728,"[{'reason': 'Ajuste de Equipamento', 'duration': 25}]"
2025-12-13,LINHA_B,Iogurte Grego,3,480,480,0,27717,177,27540,1.0,0.8662,0.9936,0.7746,[]
2025-12-13,LINHA_C,Leite Fermentado,1,480,453,27,24477,1122,23355,0.9437,0.9263,0.9542,0.7507,"[{'reason': 'Falta de Matéria-Prima', 'duration': 27}]"
2025-12-13,LINHA_C,Leite Fermentado,2,480,444,36,24950,381,24569,0.925,0.9633,0.9847,0.7897,"[{'reason': 'Troca de Sabor', 'duration': 36}]"
2025-12-13,LINHA_C,Leite Fermentado,3,480,480,0,25016,306,24710,1.0,0.8934,0.9878,0.7943,[]
2025-12-14,LINHA_A,Iogurte Natural,1,480,252,228,20661,604,20057,0.525,0.9839,0.9708,0.4513,"[{'reason': 'Falta de Matéria-Prima', 'duration': 84}, {'reason': 'Limpeza CIP', 'duration': 57}, {'reason': 'Falta de Matéria-Prima', 'duration': 35}, {'reason': 'Falha Elétrica', 'duration': 22}, {'reason': 'Controle de Qualidade', 'duration': 30}]"
2025-12-14,LINHA_A,Iogurte Natural,2,480,413,67,30430,737,29693,0.8604,0.8842,0.9758,0.6681,"[{'reason': 'Manutenção Preventiva', 'duration': 67}]"
2025-12-14,LINHA_A,Iogurte Natural,3,480,353,127,27257,648,26609,0.7354,0.9266,0.9762,0.5987,"[{'reason': 'Falta de Matéria-Prima', 'duration': 78}, {'reason': 'Limpeza CIP', 'duration': 49}]"
2025-12-14,LINHA_B,Iogurte Grego,1,480,480,0,27775,560,27215,1.0,0.868,0.9798,0.7654,[]
2025-12-14,LINHA_B,Iogurte Grego,2,480,341,139,21720,464,21256,0.7104,0.9554,0.9786,0.5978,"[{'reason': 'Manutenção Preventiva', 'duration': 88}, {'reason': 'Falta de Matéria-Prima', 'duration': 51}]"
2025-12-14,LINHA_B,Iogurte Grego,3,480,340,140,20289,361,19928,0.7083,0.8951,0.9822,0.5605,"[{'reason': 'Controle de Qualidade', 'duration': 22}, {'reason': 'Ajuste de Equipamento', 'duration': 25}, {'reason': 'Falta de Matéria-Prima', 'duration': 93}]"
2025-12-14,LINHA_C,Leite Fermentado,1,480,480,0,26360,728,25632,1.0,0.9414,0.9724,0.8239,[]
2025-12-14,LINHA_C,Leite Fermentado,2,480,480,0,24970,1145,23825,1.0,0.8918,0.9541,0.7658,[]
2025-12-14,LINHA_C,Leite Fermentado,3,480,458,22,24670,1217,23453,0.9542,0.9234,0.9507,0.7538,"[{'reason': 'Troca de Sabor', 'duration': 22}]"
2025-12-15,LINHA_A,Iogurte Natural,1,480,440,40,35355,554,34801,0.9167,0.9642,0.9843,0.87,"[{'reason': 'Troca de Sabor', 'duration': 40}]"
2025-12-15,LINHA_A,Iogurte Natural,2,480,458,22,36068,1049,35019,0.9542,0.945,0.9709,0.8755,"[{'reason': 'Falha Elétrica', 'duration': 22}]"
2025-12-15,LINHA_A,Iogurte Natural,3,480,480,0,39011,758,38253,1.0,0.9753,0.9806,0.9563,[]
2025-12-15,LINHA_B,Iogurte Grego,1,480,480,0,27395,865,26530,1.0,0.8561,0.9684,0.8291,[]
2025-12-15,LINHA_B,Iogurte Grego,2,480,444,36,27433,416,27017,0.925,0.9268,0.9848,0.8443,"[{'reason': 'Limpeza CIP', 'duration': 36}]"
2025-12-15,LINHA_B,Iogurte Grego,3,480,480,0,30516,683,29833,1.0,0.9536,0.9776,0.9323,[]
2025-12-15,LINHA_C,Leite Fermentado,1,480,303,177,15928,160,15768,0.6312,0.9012,0.99,0.5631,"[{'reason': 'Falta de Matéria-Prima', 'duration': 177}]"
2025-12-15,LINHA_C,Leite Fermentado,2,480,444,36,24579,1026,23553,0.925,0.949,0.9583,0.8412,"[{'reason': 'Controle de Qualidade', 'duration': 22}, {'reason': 'Controle de Qualidade', 'duration': 14}]"
2025-12-15,LINHA_C,Leite Fermentado,3,480,318,162,16026,727,15299,0.6625,0.8639,0.9546,0.5464,"[{'reason': 'Ajuste de Equipamento', 'duration': 9}, {'reason': 'Falta de Matéria-Prima', 'duration': 153}]"
2025-12-16,LINHA_A,Iogurte Natural,1,480,410,70,30831,1161,29670,0.8542,0.9024,0.9623,0.7418,"[{'reason': 'Ajuste de Equipamento', 'duration': 28}, {'reason': 'Falha Elétrica', 'duration': 42}]"
2025-12-16,LINHA_A,Iogurte Natural,2,480,353,127,25717,1168,24549,0.7354,0.8742,0.9546,0.6137,"[{'reason': 'Falha Elétrica', 'duration': 28}, {'reason': 'Falta de Matéria-Prima', 'duration': 45}, {'reason': 'Controle de Qualidade', 'duration': 12}, {'reason': 'Troca de Sabor', 'duration': 42}]"
2025-12-16,LINHA_A,Iogurte Natural,3,480,446,34,32157,1120,31037,0.9292,0.8652,0.9652,0.7759,"[{'reason': 'Limpeza CIP', 'duration': 34}]"
2025-12-16,LINHA_B,Iogurte Grego,1,480,480,0,27971,830,27141,1.0,0.8741,0.9703,0.8482,[]
2025-12-16,LINHA_B,Iogurte Grego,2,480,330,150,21050,329,20721,0.6875,0.9568,0.9844,0.6475,"[{'reason': 'Manutenção Preventiva', 'duration': 107}, {'reason': 'Falha Elétrica', 'duration': 43}]"
2025-12-16,LINHA_B,Iogurte Grego,3,480,395,85,25737,890,24847,0.8229,0.9774,0.9654,0.7765,"[{'reason': 'Limpeza CIP', 'duration': 42}, {'reason': 'Falha Elétrica', 'duration': 43}]"
2025-12-16,LINHA_C,Leite Fermentado,1,480,454,26,23971,405,23566,0.9458,0.9051,0.9831,0.8416,"[{'reason': 'Controle de Qualidade', 'duration': 26}]"
2025-12-16,LINHA_C,Leite Fermentado,2,480,422,58,24218,808,23410,0.8792,0.9838,0.9666,0.8361,"[{'reason': 'Ajuste de Equipamento', 'duration': 22}, {'reason': 'Troca de Sabor', 'duration': 36}]"
2025-12-16,LINHA_C,Leite Fermentado,3,480,400,80,20516,769,19747,0.8333,0.8793,0.9625,0.7053,"[{'reason': 'Limpeza CIP', 'duration': 51}, {'reason': 'Ajuste de Equipamento', 'duration': 29}]"
2025-12-17,LINHA_A,Iogurte Natural,1,480,441,39,34795,451,34344,0.9187,0.9468,0.987,0.8586,"[{'reason': 'Limpeza CIP', 'duration': 39}]"
2025-12-17,LINHA_A,Iogurte Natural,2,480,350,130,28853,700,28153,0.7292,0.9892,0.9757,0.7038,"[{'reason': 'Falha Elétrica', 'duration': 15}, {'reason': 'Controle de Qualidade', 'duration': 10}, {'reason': 'Ajuste de Equipamento', 'duration': 21}, {'reason': 'Manutenção Preventiva', 'duration': 84}]"
2025-12-17,LINHA_A,Iogurte Natural,3,480,349,131,28433,547,27886,0.7271,0.9776,0.9808,0.6972,"[{'reason': 'Limpeza CIP', 'duration': 57}, {'reason': 'Ajuste de Equipamento', 'duration': 25}, {'reason': 'Falta de Matéria-Prima', 'duration': 49}]"
2025-12-17,LINHA_B,Iogurte Grego,1,480,480,0,29872,1407,28465,1.0,0.9335,0.9529,0.8895,[]
2025-12-17,LINHA_B,Iogurte Grego,2,480,357,123,22425,1111,21314,0.7438,0.9422,0.9505,0.6661,"[{'reason': 'Manutenção Preventiva', 'duration': 89}, {'reason': 'Troca de Sabor', 'duration': 34}]"
2025-12-17,LINHA_B,Iogurte Grego,3,480,480,0,29687,1320,28367,1.0,0.9277,0.9555,0.8865,[]
2025-12-17,LINHA_C,Leite Fermentado,1,480,411,69,21434,887,20547,0.8562,0.894,0.9586,0.7338,"[{'reason': 'Controle de Qualidade', 'duration': 10}, {'reason': 'Limpeza CIP', 'duration': 59}]"
2025-12-17,LINHA_C,Leite Fermentado,2,480,414,66,23419,802,22617,0.8625,0.9697,0.9658,0.8078,"[{'reason': 'Ajuste de Equipamento', 'duration': 12}, {'reason': 'Troca de Sabor', 'duration': 22}, {'reason': 'Limpeza CIP', 'duration': 32}]"
2025-12-17,LINHA_C,Leite Fermentado,3,480,405,75,21412,197,21215,0.8438,0.9063,0.9908,0.7577,"[{'reason': 'Controle de Qualidade', 'duration': 12}, {'reason': 'Manutenção Preventiva', 'duration': 36}, {'reason': 'Controle de Qualidade', 'duration': 27}]"
2025-12-18,LINHA_A,Iogurte Natural,1,480,427,53,32730,962,31768,0.8896,0.9198,0.9706,0.7942,"[{'reason': 'Manutenção Preventiva', 'duration': 53}]"
2025-12-18,LINHA_A,Iogurte Natural,2,480,462,18,32901,219,32682,0.9625,0.8546,0.9933,0.817,"[{'reason': 'Falha Elétrica', 'duration': 18}]"
2025-12-18,LINHA_A,Iogurte Natural,3,480,344,136,26612,1055,25557,0.7167,0.9283,0.9604,0.6389,"[{'reason': 'Falta de Matéria-Prima', 'duration': 89}, {'reason': 'Falha Elétrica', 'duration': 47}]"
2025-12-18,LINHA_B,Iogurte Grego,1,480,480,0,30189,266,29923,1.0,0.9434,0.9912,0.9351,[]
2025-12-18,LINHA_B,Iogurte Grego,2,480,480,0,29750,872,28878,1.0,0.9297,0.9707,0.9024,[]
2025-12-18,LINHA_B,Iogurte Grego,3,480,374,106,24167,415,23752,0.7792,0.9693,0.9828,0.7422,"[{'reason': 'Controle de Qualidade', 'duration': 26}, {'reason': 'Controle de Qualidade', 'duration': 13}, {'reason': 'Falta de Matéria-Prima', 'duration': 67}]"
2025-12-18,LINHA_C,Leite Fermentado,1,480,440,40,21914,1058,20856,0.9167,0.8538,0.9517,0.7449,"[{'reason': 'Limpeza CIP', 'duration': 40}]"
2025-12-18,LINHA_C,Leite Fermentado,2,480,276,204,14062,228,13834,0.575,0.8734,0.9838,0.4941,"[{'reason': 'Troca de Sabor', 'duration': 33}, {'reason': 'Falta de Matéria-Prima', 'duration': 160}, {'reason': 'Falta de Matéria-Prima', 'duration': 11}]"
2025-12-18,LINHA_C,Leite Fermentado,3,480,348,132,20162,770,19392,0.725,0.9932,0.9618,0.6926,"[{'reason': 'Limpeza CIP', 'duration': 52}, {'reason': 'Troca de Sabor', 'duration': 22}, {'reason': 'Limpeza CIP', 'duration': 58}]"
2025-12-19,LINHA_A,Iogurte Natural,1,480,438,42,32381,680,31701,0.9125,0.8872,0.979,0.7925,"[{'reason': 'Troca de Sabor', 'duration': 42}]"
2025-12-19,LINHA_A,Iogurte Natural,2,480,434,46,31371,221,31150,0.9042,0.8674,0.993,0.7788,"[{'reason': 'Limpeza CIP', 'duration': 46}]"
2025-12-19,LINHA_A,Iogurte Natural,3,480,480,0,39132,1434,37698,1.0,0.9783,0.9634,0.9425,[]
2025-12-19,LINHA_B,Iogurte Grego,1,480,399,81,24571,646,23925,0.8313,0.9237,0.9737,0.7477,"[{'reason': 'Falta de Matéria-Prima', 'duration': 81}]"
2025-12-19,LINHA_B,Iogurte Grego,2,480,480,0,29282,671,28611,1.0,0.9151,0.9771,0.8941,[]
2025-12-19,LINHA_B,Iogurte Grego,3,480,352,128,21265,705,20560,0.7333,0.9062,0.9668,0.6425,"[{'reason': 'Controle de Qualidade', 'duration': 16}, {'reason': 'Manutenção Preventiva', 'duration': 112}]"
2025-12-19,LINHA_C,Leite Fermentado,1,480,406,74,20381,691,19690,0.8458,0.8606,0.9661,0.7032,"[{'reason': 'Controle de Qualidade', 'duration': 17}, {'reason': 'Controle de Qualidade', 'duration': 23}, {'reason': 'Falta de Matéria-Prima', 'duration': 34}]"
2025-12-19,LINHA_C,Leite Fermentado,2,480,480,0,26260,1242,25018,1.0,0.9379,0.9527,0.8935,[]
2025-12-19,LINHA_C,Leite Fermentado,3,480,402,78,21544,636,20908,0.8375,0.9187,0.9705,0.7467,"[{'reason': 'Limpeza CIP', 'duration': 51}, {'reason': 'Falha Elétrica', 'duration': 27}]"
2025-12-20,LINHA_A,Iogurte Natural,1,480,356,124,25525,243,25282,0.7417,0.8604,0.9905,0.5688,"[{'reason': 'Falha Elétrica', 'duration': 31}, {'reason': 'Controle de Qualidade', 'duration': 11}, {'reason': 'Limpeza CIP', 'duration': 31}, {'reason': 'Falha Elétrica', 'duration': 51}]"
2025-12-20,LINHA_A,Iogurte Natural,2,480,480,0,34566,1235,33331,1.0,0.8642,0.9643,0.7499,[]
2025-12-20,LINHA_A,Iogurte Natural,3,480,480,0,35913,1544,34369,1.0,0.8978,0.957,0.7733,[]
2025-12-20,LINHA_B,Iogurte Grego,1,480,480,0,31109,550,30559,1.0,0.9722,0.9823,0.8595,[]
2025-12-20,LINHA_B,Iogurte Grego,2,480,480,0,30544,1017,29527,1.0,0.9545,0.9667,0.8304,[]
2025-12-20,LINHA_B,Iogurte Grego,3,480,385,95,22499,872,21627,0.8021,0.8766,0.9612,0.6083,"[{'reason': 'Limpeza CIP', 'duration': 37}, {'reason': 'Falta de Matéria-Prima', 'duration': 58}]"
2025-12-20,LINHA_C,Leite Fermentado,1,480,431,49,24298,494,23804,0.8979,0.9664,0.9797,0.7651,"[{'reason': 'Controle de Qualidade', 'duration': 14}, {'reason': 'Falha Elétrica', 'duration': 16}, {'reason': 'Ajuste de Equipamento', 'duration': 19}]"
2025-12-20,LINHA_C,Leite Fermentado,2,480,376,104,18982,865,18117,0.7833,0.8654,0.9544,0.5823,"[{'reason': 'Falta de Matéria-Prima', 'duration': 29}, {'reason': 'Controle de Qualidade', 'duration': 27}, {'reason': 'Limpeza CIP', 'duration': 31}, {'reason': 'Troca de Sabor', 'duration': 17}]"
2025-12-20,LINHA_C,Leite Fermentado,3,480,392,88,22508,506,22002,0.8167,0.9843,0.9775,0.7072,"[{'reason': 'Falta de Matéria-Prima', 'duration': 52}, {'reason': 'Falha Elétrica', 'duration': 36}]"
2025-12-21,LINHA_A,Iogurte Natural,1,480,480,0,39432,359,39073,1.0,0.9858,0.9909,0.8791,[]
2025-12-21,LINHA_A,Iogurte Natural,2,480,388,92,30547,769,29778,0.8083,0.9448,0.9748,0.67,"[{'reason': 'Controle de Qualidade', 'duration': 16}, {'reason': 'Falha Elétrica', 'duration': 8}, {'reason': 'Manutenção Preventiva', 'duration': 68}]"
2025-12-21,LINHA_A,Iogurte Natural,3,480,453,27,35895,1394,34501,0.9437,0.9509,0.9612,0.7763,"[{'reason': 'Troca de Sabor', 'duration': 27}]"
2025-12-21,LINHA_B,Iogurte Grego,1,480,431,49,26554,201,26353,0.8979,0.9242,0.9924,0.7412,"[{'reason': 'Ajuste de Equipamento', 'duration': 30}, {'reason': 'Controle de Qualidade', 'duration': 19}]"
2025-12-21,LINHA_B,Iogurte Grego,2,480,417,63,25093,257,24836,0.8688,0.9026,0.9898,0.6985,"[{'reason': 'Falha Elétrica', 'duration': 49}, {'reason': 'Controle de Qualidade', 'duration': 14}]"
2025-12-21,LINHA_B,Iogurte Grego,3,480,480,0,30855,1012,29843,1.0,0.9642,0.9672,0.8393,[]
2025-12-21,LINHA_C,Leite Fermentado,1,480,480,0,24153,882,23271,1.0,0.8626,0.9635,0.748,[]
2025-12-21,LINHA_C,Leite Fermentado,2,480,480,0,27251,1002,26249,1.0,0.9732,0.9632,0.8437,[]
2025-12-21,LINHA_C,Leite Fermentado,3,480,480,0,24156,1193,22963,1.0,0.8627,0.9506,0.7381,[]
2025-12-22,LINHA_A,Iogurte Natural,1,480,395,85,31992,1523,30469,0.8229,0.9719,0.9524,0.7617,"[{'reason': 'Falta de Matéria-Prima', 'duration': 85}]"
2025-12-22,LINHA_A,Iogurte Natural,2,480,418,62,33668,1014,32654,0.8708,0.9665,0.9699,0.8164,"[{'reason': 'Falta de Matéria-Prima', 'duration': 24}, {'reason': 'Troca de Sabor', 'duration': 38}]"
2025-12-22,LINHA_A,Iogurte Natural,3,480,438,42,33722,185,33537,0.9125,0.9239,0.9945,0.8384,"[{'reason': 'Troca de Sabor', 'duration': 16}, {'reason': 'Controle de Qualidade', 'duration': 26}]"
2025-12-22,LINHA_B,Iogurte Grego,1,480,453,27,26208,269,25939,0.9437,0.8678,0.9897,0.8106,"[{'reason': 'Manutenção Preventiva', 'duration': 27}]"
2025-12-22,LINHA_B,Iogurte Grego,2,480,231,249,13749,606,13143,0.4813,0.8928,0.9559,0.4107,"[{'reason': 'Limpeza CIP', 'duration': 57}, {'reason': 'Manutenção Preventiva', 'duration': 28}, {'reason': 'Limpeza CIP', 'duration': 51}, {'reason': 'Falta de Matéria-Prima', 'duration': 113}]"
2025-12-22,LINHA_B,Iogurte Grego,3,480,420,60,23851,1160,22691,0.875,0.8518,0.9514,0.7091,"[{'reason': 'Limpeza CIP', 'duration': 60}]"
2025-12-22,LINHA_C,Leite Fermentado,1,480,480,0,27542,791,26751,1.0,0.9836,0.9713,0.9554,[]
2025-12-22,LINHA_C,Leite Fermentado,2,480,322,158,17526,852,16674,0.6708,0.9331,0.9514,0.5955,"[{'reason': 'Falta de Matéria-Prima', 'duration': 158}]"
2025-12-22,LINHA_C,Leite Fermentado,3,480,403,77,22195,694,21501,0.8396,0.9441,0.9687,0.7679,"[{'reason': 'Troca de Sabor', 'duration': 34}, {'reason': 'Limpeza CIP', 'duration': 43}]"
2025-12-23,LINHA_A,Iogurte Natural,1,480,469,11,34867,1665,33202,0.9771,0.8921,0.9522,0.8301,"[{'reason': 'Ajuste de Equipamento', 'duration': 11}]"
2025-12-23,LINHA_A,Iogurte Natural,2,480,390,90,28542,738,27804,0.8125,0.8782,0.9741,0.6951,"[{'reason': 'Falta de Matéria-Prima', 'duration': 77}, {'reason': 'Falha Elétrica', 'duration': 13}]"
2025-12-23,LINHA_A,Iogurte Natural,3,480,461,19,33102,1616,31486,0.9604,0.8617,0.9512,0.7872,"[{'reason': 'Ajuste de Equipamento', 'duration': 19}]"
2025-12-23,LINHA_B,Iogurte Grego,1,480,421,59,27282,977,26305,0.8771,0.972,0.9642,0.822,"[{'reason': 'Limpeza CIP', 'duration': 30}, {'reason': 'Controle de Qualidade', 'duration': 29}]"
2025-12-23,LINHA_B,Iogurte Grego,2,480,480,0,31572,1326,30246,1.0,0.9866,0.958,0.9452,[]
2025-12-23,LINHA_B,Iogurte Grego,3,480,300,180,19798,870,18928,0.625,0.9899,0.9561,0.5915,"[{'reason': 'Limpeza CIP', 'duration': 32}, {'reason': 'Falta de Matéria-Prima', 'duration': 139}, {'reason': 'Ajuste de Equipamento', 'duration': 9}]"
2025-12-23,LINHA_C,Leite Fermentado,1,480,480,0,23910,524,23386,1.0,0.8539,0.9781,0.8352,[]
2025-12-23,LINHA_C,Leite Fermentado,2,480,422,58,23117,511,22606,0.8792,0.9391,0.9779,0.8074,"[{'reason': 'Limpeza CIP', 'duration': 58}]"
2025-12-23,LINHA_C,Leite Fermentado,3,480,315,165,16372,123,16249,0.6562,0.891,0.9925,0.5803,"[{'reason': 'Falta de Matéria-Prima', 'duration': 104}, {'reason': 'Ajuste de Equipamento', 'duration': 10}, {'reason': 'Controle de Qualidade', 'duration': 27}, {'reason': 'Ajuste de Equipamento', 'duration': 24}]"
2025-12-24,LINHA_A,Iogurte Natural,1,480,116,364,8869,95,8774,0.2417,0.9175,0.9893,0.2194,"[{'reason': 'Troca de Sabor', 'duration': 36}, {'reason': 'Ajuste de Equipamento', 'duration': 26}, {'reason': 'Limpeza CIP', 'duration': 60}, {'reason': 'Manutenção Preventiva', 'duration': 53}, {'reason': 'Limpeza CIP', 'duration': 58}, {'reason': 'Limpeza CIP', 'duration': 53}, {'reason': 'Manutenção Preventiva', 'duration': 54}, {'reason': 'Ajuste de Equipamento', 'duration': 24}]"
2025-12-24,LINHA_A,Iogurte Natural,2,480,211,269,16717,548,16169,0.4396,0.9507,0.9672,0.4042,"[{'reason': 'Falta de Matéria-Prima', 'duration': 97}, {'reason': 'Falta de Matéria-Prima', 'duration': 172}]"
2025-12-24,LINHA_A,Iogurte Natural,3,480,459,21,36365,1033,35332,0.9563,0.9507,0.9716,0.8833,"[{'reason': 'Ajuste de Equipamento', 'duration': 21}]"
2025-12-24,LINHA_B,Iogurte Grego,1,480,387,93,24100,1071,23029,0.8063,0.9341,0.9556,0.7197,"[{'reason': 'Controle de Qualidade', 'duration': 18}, {'reason': 'Troca de Sabor', 'duration': 17}, {'reason': 'Falha Elétrica', 'duration': 58}]"
2025-12-24,LINHA_B,Iogurte Grego,2,480,474,6,26996,1052,25944,0.9875,0.8543,0.961,0.8107,"[{'reason': 'Ajuste de Equipamento', 'duration': 6}]"
2025-12-24,LINHA_B,Iogurte Grego,3,480,354,126,20542,116,20426,0.7375,0.8704,0.9944,0.6383,"[{'reason': 'Troca de Sabor', 'duration': 25}, {'reason': 'Manutenção Preventiva', 'duration': 101}]"
2025-12-24,LINHA_C,Leite Fermentado,1,480,470,10,24917,615,24302,0.9792,0.9088,0.9753,0.8679,"[{'reason': 'Ajuste de Equipamento', 'duration': 10}]"
2025-12-24,LINHA_C,Leite Fermentado,2,480,413,67,23309,532,22777,0.8604,0.9675,0.9772,0.8135,"[{'reason': 'Controle de Qualidade', 'duration': 27}, {'reason': 'Falha Elétrica', 'duration': 40}]"
2025-12-24,LINHA_C,Leite Fermentado,3,480,313,167,18057,490,17567,0.6521,0.989,0.9729,0.6274,"[{'reason': 'Troca de Sabor', 'duration': 18}, {'reason': 'Limpeza CIP', 'duration': 60}, {'reason': 'Manutenção Preventiva', 'duration': 89}]"
2025-12-25,LINHA_A,Iogurte Natural,1,480,439,41,36473,990,35483,0.9146,0.997,0.9729,0.8871,"[{'reason': 'Troca de Sabor', 'duration': 41}]"
2025-12-25,LINHA_A,Iogurte Natural,2,480,480,0,35440,298,35142,1.0,0.886,0.9916,0.8786,[]
2025-12-25,LINHA_A,Iogurte Natural,3,480,480,0,34768,411,34357,1.0,0.8692,0.9882,0.8589,[]
2025-12-25,LINHA_B,Iogurte Grego,1,480,480,0,30276,399,29877,1.0,0.9461,0.9868,0.9337,[]
2025-12-25,LINHA_B,Iogurte Grego,2,480,380,100,24070,306,23764,0.7917,0.9501,0.9873,0.7426,"[{'reason': 'Manutenção Preventiva', 'duration': 75}, {'reason': 'Manutenção Preventiva', 'duration': 25}]"
2025-12-25,LINHA_B,Iogurte Grego,3,480,480,0,27396,345,27051,1.0,0.8561,0.9874,0.8453,[]
2025-12-25,LINHA_C,Leite Fermentado,1,480,464,16,23366,243,23123,0.9667,0.8633,0.9896,0.8258,"[{'reason': 'Ajuste de Equipamento', 'duration': 16}]"
2025-12-25,LINHA_C,Leite Fermentado,2,480,437,43,23060,637,22423,0.9104,0.9046,0.9724,0.8008,"[{'reason': 'Troca de Sabor', 'duration': 43}]"
2025-12-25,LINHA_C,Leite Fermentado,3,480,480,0,27157,903,26254,1.0,0.9699,0.9667,0.9376,[]
2025-12-26,LINHA_A,Iogurte Natural,1,480,480,0,39241,1822,37419,1.0,0.981,0.9536,0.9355,[]
2025-12-26,LINHA_A,Iogurte Natural,2,480,480,0,35661,1472,34189,1.0,0.8915,0.9587,0.8547,[]
2025-12-26,LINHA_A,Iogurte Natural,3,480,407,73,29894,647,29247,0.8479,0.8814,0.9784,0.7312,"[{'reason': 'Falta de Matéria-Prima', 'duration': 73}]"
2025-12-26,LINHA_B,Iogurte Grego,1,480,395,85,24210,935,23275,0.8229,0.9194,0.9614,0.7273,"[{'reason': 'Limpeza CIP', 'duration': 41}, {'reason': 'Falha Elétrica', 'duration': 44}]"
2025-12-26,LINHA_B,Iogurte Grego,2,480,480,0,28411,1054,27357,1.0,0.8878,0.9629,0.8549,[]
